3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 731 731 730 730 0 0 0 507 187 35 1 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 732 732 732 731 0 0 0 519 181 27 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 731 729 0 0 0 502 196 27 3 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 731 731 730 0 0 0 514 188 26 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 731 729 729 0 0 0 516 183 29 1 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 732 731 731 0 0 0 505 190 33 3 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 734 734 0 0 0 515 189 26 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 733 733 0 0 0 533 168 28 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 732 731 731 0 0 0 508 188 33 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 731 729 729 0 0 0 510 184 32 3 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 731 731 730 0 0 0 523 170 30 7 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 732 729 0 0 0 503 197 27 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 733 731 731 0 0 0 510 183 29 9 0 0 0 0 0
